,Marca,Modelo,Descrição,Valor,texto_embedding_melhorado,categoria_identificada
353,MICHAEL,TOM AVULSO CLASSIC - HM1008KL NA,"Tom Avulso Classic Lacquer 10""x Q8"", casco em Basswood, Laqueado, acompanha extensor e adaptador e é equipado com pele de ataque Michael NPSM e de resposta Michael NCLM. Cor: Natural (NA)",229.6,"CATEGORIA: PELE | MARCA: MICHAEL | MODELO: TOM AVULSO CLASSIC   HM1008KL NA | ESPECIFICACOES: POLEGADAS: 8 10 | DESCRICAO: Tom Avulso Classic Lacquer 10""x Q8"", casco em Basswood, Laqueado, acompanha extensor e adaptador e é equipado com pele de ataque Michael NPSM e de resposta Michael NCLM. Cor: Natural (NA)",PELE
354,MICHAEL,TOM AVULSO CLASSIC - HM1008KL RS,"Tom Avulso Classic Lacquer 10""x Q8"", casco em Basswood, Laqueado, acompanha extensor e adaptador e é equipado com pele de ataque Michael NPSM e de resposta Michael NCLM. Cor: Orange Sunburt (RS)",229.6,"CATEGORIA: PELE | MARCA: MICHAEL | MODELO: TOM AVULSO CLASSIC   HM1008KL RS | ESPECIFICACOES: POLEGADAS: 8 10 | DESCRICAO: Tom Avulso Classic Lacquer 10""x Q8"", casco em Basswood, Laqueado, acompanha extensor e adaptador e é equipado com pele de ataque Michael NPSM e de resposta Michael NCLM. Cor: Orange Sunburt (RS)",PELE
355,MICHAEL,PAD LANÇAMENTO - DMXPD07,Pad Mesh Ultrafina 8” Dual Zone. Pack Master 1 unidade,245.7,CATEGORIA: OUTROS | MARCA: MICHAEL | MODELO: PAD LANÇAMENTO   DMXPD07 | DESCRICAO: Pad Mesh Ultrafina 8” Dual Zone. Pack Master 1 unidade,OUTROS
356,MICHAEL,"LINHA GO PLAY Violão Acústico Infantil - Nylon - VM09E 1/4 - 30"" 76cm","Violão clássico acústico infantil, tampo em Linden, braço em Basswood, cavalete e escala em Dark Maple, tarraxas douradas, trastes em Níquel Silver e encordoamento nylon (tensão normal). Cores: Natural (NA) e Preto (BK).",252.7,"CATEGORIA: OUTROS | MARCA: MICHAEL | MODELO: LINHA GO PLAY VIOLÃO ACÚSTICO INFANTIL   NYLON   VM09E 1 4   30  76CM | ESPECIFICACOES: COR: PRETO | MATERIAL: AÇO NYLON | DESCRICAO: Violão clássico acústico infantil, tampo em Linden, braço em Basswood, cavalete e escala em Dark Maple, tarraxas douradas, trastes em Níquel Silver e encordoamento nylon (tensão normal). Cores: Natural (NA) e Preto (BK).",OUTROS
357,MICHAEL,"LINHA GO PLAY Violão Acústico Infantil - Nylon - VM11E 1/2 - 34"" 86cm","Violão clássico acústico infantil, tampo em Linden, braço em Basswood, cavalete e escala em Dark Maple, tarraxas douradas, trastes em Níquel Silver e encordoamento nylon (tensão normal). Cores: Natural (NA), e Preto (BK).",261.8,"CATEGORIA: OUTROS | MARCA: MICHAEL | MODELO: LINHA GO PLAY VIOLÃO ACÚSTICO INFANTIL   NYLON   VM11E 1 2   34  86CM | ESPECIFICACOES: COR: PRETO | MATERIAL: AÇO NYLON | DESCRICAO: Violão clássico acústico infantil, tampo em Linden, braço em Basswood, cavalete e escala em Dark Maple, tarraxas douradas, trastes em Níquel Silver e encordoamento nylon (tensão normal). Cores: Natural (NA), e Preto (BK).",OUTROS
358,MICHAEL,"LINHA GO PLAY Violão Acústico Infantil - Nylon - VM13E 3/4 - 36"" 92cm","Violão clássico acústico infantil, tampo em Linden, braço em Basswood, cavalete e escala em Dark Maple, tarraxas douradas, trastes em Níquel Silver e encordoamento nylon (tensão normal). Cores: Natural (NA), e Preto (BK).",269.5,"CATEGORIA: OUTROS | MARCA: MICHAEL | MODELO: LINHA GO PLAY VIOLÃO ACÚSTICO INFANTIL   NYLON   VM13E 3 4   36  92CM | ESPECIFICACOES: COR: PRETO | MATERIAL: AÇO NYLON | DESCRICAO: Violão clássico acústico infantil, tampo em Linden, braço em Basswood, cavalete e escala em Dark Maple, tarraxas douradas, trastes em Níquel Silver e encordoamento nylon (tensão normal). Cores: Natural (NA), e Preto (BK).",OUTROS
359,MICHAEL,PAD LANÇAMENTO - DMXPD09,Pad Mesh Ultrafina 10” Dual Zone. Pack Master 1 unidade,278.6,CATEGORIA: OUTROS | MARCA: MICHAEL | MODELO: PAD LANÇAMENTO   DMXPD09 | DESCRICAO: Pad Mesh Ultrafina 10” Dual Zone. Pack Master 1 unidade,OUTROS
360,MICHAEL,ESTOJO PARA VIOLINO - VNMCA7,"Estojo profissional retangular para violino 4/4. 3 Porta objetos e compartimento para 4 arcos, alça tiracolo e 2 alças externas.",287.0,"CATEGORIA: OUTROS | MARCA: MICHAEL | MODELO: ESTOJO PARA VIOLINO   VNMCA7 | DESCRICAO: Estojo profissional retangular para violino 4/4. 3 Porta objetos e compartimento para 4 arcos, alça tiracolo e 2 alças externas.",OUTROS
361,MICHAEL,HARDWARE LANÇAMENTO - DMXHW03,Pés para Pack Easy Flex. Pack Master 1 unidade,333.9,CATEGORIA: OUTROS | MARCA: MICHAEL | MODELO: HARDWARE LANÇAMENTO   DMXHW03 | DESCRICAO: Pés para Pack Easy Flex. Pack Master 1 unidade,OUTROS
362,MICHAEL,TOM AVULSO LEGACY - DMLT0807,"Tom avulso série legacy Q8"" x 07"", casco em poplar equipado com pele filme duplo acompanha sistema de suspensão M.S.3, ton holder com esfera e adaptador clamp. Cores: Sparkle Marine Blue (SMB), Sparkle Silver (SSR) e Sparkle Black (SBK)",410.2,"CATEGORIA: PELE | MARCA: MICHAEL | MODELO: TOM AVULSO LEGACY   DMLT0807 | ESPECIFICACOES: POLEGADAS: 8 07 | DESCRICAO: Tom avulso série legacy Q8"" x 07"", casco em poplar equipado com pele filme duplo acompanha sistema de suspensão M.S.3, ton holder com esfera e adaptador clamp. Cores: Sparkle Marine Blue (SMB), Sparkle Silver (SSR) e Sparkle Black (SBK)",PELE
363,MICHAEL,LINHA TRADICIONAL - VNM08,"Violino 1/8 Tradicional, acabamento de Verniz Translúcido Avermelhado, tampo Spruce (Abeto) maciço, faixas e fundo de Maple, 4 microafinadores e filete de madeira encrustado nas bordas. Acessórios: Estojo térmico com higrômetro, breu e 1 arco de crina animal.",446.6,"CATEGORIA: PELE | MARCA: MICHAEL | MODELO: LINHA TRADICIONAL   VNM08 | ESPECIFICACOES: MATERIAL: MADEIRA | PELE_TIPO: ANIMAL | DESCRICAO: Violino 1/8 Tradicional, acabamento de Verniz Translúcido Avermelhado, tampo Spruce (Abeto) maciço, faixas e fundo de Maple, 4 microafinadores e filete de madeira encrustado nas bordas. Acessórios: Estojo térmico com higrômetro, breu e 1 arco de crina animal.",PELE
364,MICHAEL,LINHA TRADICIONAL Violino Infantil 1/8 - VNM08,"Violino 1/8 Tradicional, acabamento de Verniz Translúcido Avermelhado, tampo Spruce (Abeto) maciço, faixas e fundo de Maple, 4 microafinadores e filete de madeira encrustado nas bordas. Acessórios: Estojo térmico com higrômetro, breu e 1 arco de crina animal.",446.6,"CATEGORIA: PELE | MARCA: MICHAEL | MODELO: LINHA TRADICIONAL VIOLINO INFANTIL 1 8   VNM08 | ESPECIFICACOES: MATERIAL: MADEIRA | PELE_TIPO: ANIMAL | DESCRICAO: Violino 1/8 Tradicional, acabamento de Verniz Translúcido Avermelhado, tampo Spruce (Abeto) maciço, faixas e fundo de Maple, 4 microafinadores e filete de madeira encrustado nas bordas. Acessórios: Estojo térmico com higrômetro, breu e 1 arco de crina animal.",PELE
365,MICHAEL,TOM AVULSO ELEVATION - TE0807,"Tom avulso série Elevation Q8""x 07"" com 12 afinações, casco em Poplar de 7mm e 6 folhas, revestimento de celuloide, equipado com pele duplo filme Michael by Remo. Cor: Preto Sparkle (BKS)",452.2,"CATEGORIA: PELE | MARCA: MICHAEL | MODELO: TOM AVULSO ELEVATION   TE0807 | ESPECIFICACOES: POLEGADAS: 8 07 | DIMENSAO: 7 | COR: PRETO | AFINADORES: 12 | DESCRICAO: Tom avulso série Elevation Q8""x 07"" com 12 afinações, casco em Poplar de 7mm e 6 folhas, revestimento de celuloide, equipado com pele duplo filme Michael by Remo. Cor: Preto Sparkle (BKS)",PELE
366,MICHAEL,PAD LANÇAMENTO - DMXPD13,Pad Mesh Ultrafina de Bumbo 8”. Pack Master 1 unidade,492.1,CATEGORIA: BUMBO | MARCA: MICHAEL | MODELO: PAD LANÇAMENTO   DMXPD13 | DESCRICAO: Pad Mesh Ultrafina de Bumbo 8”. Pack Master 1 unidade,BUMBO
367,MICHAEL,LINHA BOXWOOD SERIES - VNM126,"Violino 1/2 Boxwood Series, acabamento em verniz translúcido avermelhado, filetes de madeira encrustada na borda, Tampo Spruce (Abeto) maciço, faixas e fundo em Maple maciço, cravelhas, queixeira, estandarte em Boxwood, espelho em Ébano, 4 microafinadores removíveis. Acessórios: Estojo térmico, breu e 1 arco de crina animal.",506.1,"CATEGORIA: PELE | MARCA: MICHAEL | MODELO: LINHA BOXWOOD SERIES   VNM126 | ESPECIFICACOES: MATERIAL: MADEIRA | PELE_TIPO: ANIMAL | DESCRICAO: Violino 1/2 Boxwood Series, acabamento em verniz translúcido avermelhado, filetes de madeira encrustada na borda, Tampo Spruce (Abeto) maciço, faixas e fundo em Maple maciço, cravelhas, queixeira, estandarte em Boxwood, espelho em Ébano, 4 microafinadores removíveis. Acessórios: Estojo térmico, breu e 1 arco de crina animal.",PELE
368,MICHAEL,LINHA BOXWOOD SERIES Violino Infantil 1/2 - VNM126,"Violino 1/2 Boxwood Series, acabamento em verniz translúcido avermelhado, filetes de madeira encrustada na borda, Tampo Spruce (Abeto) maciço, faixas e fundo em Maple maciço, cravelhas, queixeira, estandarte em Boxwood, espelho em Ébano, 4 microafinadores removíveis. Acessórios: Estojo térmico, breu e 1 arco de crina animal.",506.1,"CATEGORIA: PELE | MARCA: MICHAEL | MODELO: LINHA BOXWOOD SERIES VIOLINO INFANTIL 1 2   VNM126 | ESPECIFICACOES: MATERIAL: MADEIRA | PELE_TIPO: ANIMAL | DESCRICAO: Violino 1/2 Boxwood Series, acabamento em verniz translúcido avermelhado, filetes de madeira encrustada na borda, Tampo Spruce (Abeto) maciço, faixas e fundo em Maple maciço, cravelhas, queixeira, estandarte em Boxwood, espelho em Ébano, 4 microafinadores removíveis. Acessórios: Estojo térmico, breu e 1 arco de crina animal.",PELE
369,MICHAEL,LINHA TRADICIONAL - VNM11,"Violino 1/2 Tradicional, acabamento de Verniz Translúcido Avermelhado, tampo Spruce (Abeto) maciço, faixas e fundo de Maple, 4 microafinadores e filete de madeira encrustado nas bordas. Acessórios: Estojo térmico com higrômetro, breu, espaleira e 1 arco de crina animal.",506.1,"CATEGORIA: PELE | MARCA: MICHAEL | MODELO: LINHA TRADICIONAL   VNM11 | ESPECIFICACOES: MATERIAL: MADEIRA | PELE_TIPO: ANIMAL | DESCRICAO: Violino 1/2 Tradicional, acabamento de Verniz Translúcido Avermelhado, tampo Spruce (Abeto) maciço, faixas e fundo de Maple, 4 microafinadores e filete de madeira encrustado nas bordas. Acessórios: Estojo térmico com higrômetro, breu, espaleira e 1 arco de crina animal.",PELE
370,MICHAEL,LINHA TRADICIONAL Violino Infantil 1/2 - VNM11,"Violino 1/2 Tradicional, acabamento de Verniz Translúcido Avermelhado, tampo Spruce (Abeto) maciço, faixas e fundo de Maple, 4 microafinadores e filete de madeira encrustado nas bordas. Acessórios: Estojo térmico com higrômetro, breu, espaleira e 1 arco de crina animal.",506.1,"CATEGORIA: PELE | MARCA: MICHAEL | MODELO: LINHA TRADICIONAL VIOLINO INFANTIL 1 2   VNM11 | ESPECIFICACOES: MATERIAL: MADEIRA | PELE_TIPO: ANIMAL | DESCRICAO: Violino 1/2 Tradicional, acabamento de Verniz Translúcido Avermelhado, tampo Spruce (Abeto) maciço, faixas e fundo de Maple, 4 microafinadores e filete de madeira encrustado nas bordas. Acessórios: Estojo térmico com higrômetro, breu, espaleira e 1 arco de crina animal.",PELE
371,MICHAEL,LINHA TRADICIONAL - VNM10,"Violino 1/4 Tradicional, acabamento de Verniz Translúcido Avermelhado, tampo Spruce (Abeto) maciço, faixas e fundo de Maple, 4 microafinadores e filete de madeira encrustado nas bordas. Acessórios: Estojo térmico com higrômetro, breu e 1 arco de crina animal.",506.1,"CATEGORIA: PELE | MARCA: MICHAEL | MODELO: LINHA TRADICIONAL   VNM10 | ESPECIFICACOES: MATERIAL: MADEIRA | PELE_TIPO: ANIMAL | DESCRICAO: Violino 1/4 Tradicional, acabamento de Verniz Translúcido Avermelhado, tampo Spruce (Abeto) maciço, faixas e fundo de Maple, 4 microafinadores e filete de madeira encrustado nas bordas. Acessórios: Estojo térmico com higrômetro, breu e 1 arco de crina animal.",PELE
372,MICHAEL,LINHA TRADICIONAL Violino Infantil 1/4 - VNM10,"Violino 1/4 Tradicional, acabamento de Verniz Translúcido Avermelhado, tampo Spruce (Abeto) maciço, faixas e fundo de Maple, 4 microafinadores e filete de madeira encrustado nas bordas. Acessórios: Estojo térmico com higrômetro, breu e 1 arco de crina animal.",506.1,"CATEGORIA: PELE | MARCA: MICHAEL | MODELO: LINHA TRADICIONAL VIOLINO INFANTIL 1 4   VNM10 | ESPECIFICACOES: MATERIAL: MADEIRA | PELE_TIPO: ANIMAL | DESCRICAO: Violino 1/4 Tradicional, acabamento de Verniz Translúcido Avermelhado, tampo Spruce (Abeto) maciço, faixas e fundo de Maple, 4 microafinadores e filete de madeira encrustado nas bordas. Acessórios: Estojo térmico com higrômetro, breu e 1 arco de crina animal.",PELE
373,MICHAEL,GUITARRA STRATO MICHAEL JÚNIOR - GM219N,"Guitarra Strato infantil, corpo em Basswood, braço e escala em Maple Canadense, tarraxas blindadas cromadas, marcadores de escala Dot, 3 captadores Single Coil, 1 controle de volume e 2 tones, chave de 5 posições e 21 trastes. Cores: Metallic Blue (MB), Metallic Red (MR), Black (BK) e Vintage Sunburst (VS).",522.9,"CATEGORIA: TALABARTE | MARCA: MICHAEL | MODELO: GUITARRA STRATO MICHAEL JÚNIOR   GM219N | ESPECIFICACOES: MATERIAL: AÇO | DESCRICAO: Guitarra Strato infantil, corpo em Basswood, braço e escala em Maple Canadense, tarraxas blindadas cromadas, marcadores de escala Dot, 3 captadores Single Coil, 1 controle de volume e 2 tones, chave de 5 posições e 21 trastes. Cores: Metallic Blue (MB), Metallic Red (MR), Black (BK) e Vintage Sunburst (VS).",TALABARTE
374,MICHAEL,GUITARRA STRATO MICHAEL JUNIOR - GM219N,"Guitarrra Strato, versão canhota, corpo em Basswood, braço em Hard Maple, tensor Dual Action, tarrazas blindadas cromadas, marcadores de escala Dot, 3 captadores Single Coil, I controle de volume e 2 tones, chave de 5 posições, ponte Tremolo e trastes Medium Jumbo.",522.9,"CATEGORIA: OUTROS | MARCA: MICHAEL | MODELO: GUITARRA STRATO MICHAEL JUNIOR   GM219N | ESPECIFICACOES: MATERIAL: AÇO | DESCRICAO: Guitarrra Strato, versão canhota, corpo em Basswood, braço em Hard Maple, tensor Dual Action, tarrazas blindadas cromadas, marcadores de escala Dot, 3 captadores Single Coil, I controle de volume e 2 tones, chave de 5 posições, ponte Tremolo e trastes Medium Jumbo.",OUTROS
375,MICHAEL,LINHA TRADICIONAL - VNM30,"Violino 3/4 Tradicional, acabamento de Verniz Translúcido Avermelhado, tampo Spruce (Abeto) maciço, faixas e fundo de Maple, 4 microafinadores e filete de madeira encrustado nas bordas. Acessórios: Estojo térmico com higrômetro, breu, espaleira e 1 arco de crina animal.",536.9,"CATEGORIA: PELE | MARCA: MICHAEL | MODELO: LINHA TRADICIONAL   VNM30 | ESPECIFICACOES: MATERIAL: MADEIRA | PELE_TIPO: ANIMAL | DESCRICAO: Violino 3/4 Tradicional, acabamento de Verniz Translúcido Avermelhado, tampo Spruce (Abeto) maciço, faixas e fundo de Maple, 4 microafinadores e filete de madeira encrustado nas bordas. Acessórios: Estojo térmico com higrômetro, breu, espaleira e 1 arco de crina animal.",PELE
376,MICHAEL,LINHA TRADICIONAL - VNM40,"Violino 4/4 Tradicional, acabamento de Verniz Translúcido Avermelhado, tampo Spruce (Abeto) maciço, faixas e fundo de Maple, 4 microafinadores e filete de madeira encrustado nas bordas. Acessórios: Estojo térmico com higrômetro, breu, espaleira e 1 arco de crina animal.",536.9,"CATEGORIA: PELE | MARCA: MICHAEL | MODELO: LINHA TRADICIONAL   VNM40 | ESPECIFICACOES: MATERIAL: MADEIRA | PELE_TIPO: ANIMAL | DESCRICAO: Violino 4/4 Tradicional, acabamento de Verniz Translúcido Avermelhado, tampo Spruce (Abeto) maciço, faixas e fundo de Maple, 4 microafinadores e filete de madeira encrustado nas bordas. Acessórios: Estojo térmico com higrômetro, breu, espaleira e 1 arco de crina animal.",PELE
377,MICHAEL,LINHA BOXWOOD SERIES - VNM136,"Violino 3/4 Boxwood, acabamento em verniz translúcido avermelhado, filetes de madeira encrustada na borda, tampo em Spruce (Abeto) maciço, faixas e fundo em Maple maciço, cravelhas, queixeira e estandarte em Boxwood, espelho em Ébano e 4 microafinadores removíveis. Acessórios: Estojo térmico com higrômetro, breu e 1 arco de crina animal.",549.5,"CATEGORIA: PELE | MARCA: MICHAEL | MODELO: LINHA BOXWOOD SERIES   VNM136 | ESPECIFICACOES: MATERIAL: MADEIRA | PELE_TIPO: ANIMAL | DESCRICAO: Violino 3/4 Boxwood, acabamento em verniz translúcido avermelhado, filetes de madeira encrustada na borda, tampo em Spruce (Abeto) maciço, faixas e fundo em Maple maciço, cravelhas, queixeira e estandarte em Boxwood, espelho em Ébano e 4 microafinadores removíveis. Acessórios: Estojo térmico com higrômetro, breu e 1 arco de crina animal.",PELE
378,MICHAEL,LINHA BOXWOOD SERIES - VNM146,"Violino 4/4 Boxwood, acabamento em verniz translúcido avermelhado, filetes de madeira encrustada na borda, tampo em Spruce (Abeto) maciço, faixas e fundo em Maple maciço, cravelhas, queixeira e estandarte em Boxwood, espelho em Ébano e 4 microafinadores removíveis. Acessórios: 1 arco de crina animal, breu, estojo térmico com higrômetro.",549.5,"CATEGORIA: PELE | MARCA: MICHAEL | MODELO: LINHA BOXWOOD SERIES   VNM146 | ESPECIFICACOES: MATERIAL: MADEIRA | PELE_TIPO: ANIMAL | DESCRICAO: Violino 4/4 Boxwood, acabamento em verniz translúcido avermelhado, filetes de madeira encrustada na borda, tampo em Spruce (Abeto) maciço, faixas e fundo em Maple maciço, cravelhas, queixeira e estandarte em Boxwood, espelho em Ébano e 4 microafinadores removíveis. Acessórios: 1 arco de crina animal, breu, estojo térmico com higrômetro.",PELE
379,MICHAEL,Lira - LLM290,"29 teclas, teclas e estrutura em alumínio, cabo retrátil,com talabarte e par de baquetas",553.0,"CATEGORIA: CABO_CONECTOR | MARCA: MICHAEL | MODELO: LIRA   LLM290 | ESPECIFICACOES: MATERIAL: ALUMÍNIO | DESCRICAO: 29 teclas, teclas e estrutura em alumínio, cabo retrátil,com talabarte e par de baquetas",CABO_CONECTOR
380,MICHAEL,GUITARRA STRATO MICHAEL - GM217N,"Guitarrra Strato, corpo em Basswood, braço em Hard Maple, tensor Dual Action, tarrazas blindadas cromadas, marcadores de escala Dot, 3 captadores Single Coil, I controle de volume e 2 tones, chave de 5 posições, ponte Tremolo e trastes Medium Jumbo.",556.5,"CATEGORIA: OUTROS | MARCA: MICHAEL | MODELO: GUITARRA STRATO MICHAEL   GM217N | ESPECIFICACOES: MATERIAL: AÇO | DESCRICAO: Guitarrra Strato, corpo em Basswood, braço em Hard Maple, tensor Dual Action, tarrazas blindadas cromadas, marcadores de escala Dot, 3 captadores Single Coil, I controle de volume e 2 tones, chave de 5 posições, ponte Tremolo e trastes Medium Jumbo.",OUTROS
381,MICHAEL,GUITARRA STRATO CANHOTA - GM217N LH,"Cores: Metallic Black (MBK),Vintage Sunburst (VS), Sunburst Black (SK), Metallic Red (MRD), Metallic All Black (BA), Light Green (LG) e Light Blue (LB) e Black Tortoise (BT).",578.1999999999999,"CATEGORIA: TALABARTE | MARCA: MICHAEL | MODELO: GUITARRA STRATO CANHOTA   GM217N LH | RECURSOS: BLUETOOTH | DESCRICAO: Cores: Metallic Black (MBK),Vintage Sunburst (VS), Sunburst Black (SK), Metallic Red (MRD), Metallic All Black (BA), Light Green (LG) e Light Blue (LB) e Black Tortoise (BT).",TALABARTE
382,MICHAEL,LINHA ÉBANO SERIES - VNM130,"Violino 3/4 Ébano, acabamento em verniz translúcido avermelhado, filetes de madeira encrustada na borda, tampo em Spruce (Abeto) maciço, faixas e fundo em Maple maciço, cravelhas, queixeira, estandarte e espelho em Ébano, 4 microafinadores removíveis. Acessórios: Estojo térmico com higrômetro, breu, espaleira e 1 arco de crina animal.",603.4,"CATEGORIA: PELE | MARCA: MICHAEL | MODELO: LINHA ÉBANO SERIES   VNM130 | ESPECIFICACOES: MATERIAL: MADEIRA | PELE_TIPO: ANIMAL | DESCRICAO: Violino 3/4 Ébano, acabamento em verniz translúcido avermelhado, filetes de madeira encrustada na borda, tampo em Spruce (Abeto) maciço, faixas e fundo em Maple maciço, cravelhas, queixeira, estandarte e espelho em Ébano, 4 microafinadores removíveis. Acessórios: Estojo térmico com higrômetro, breu, espaleira e 1 arco de crina animal.",PELE
383,MICHAEL,LINHA ÉBANO SERIES - VNM140,"Violino 4/4 Ébano, acabamento em verniz translúcido avermelhado, filetes de madeira encrustada na borda, tampo em Spruce (Abeto) maciço, faixas e fundo em Maple maciço, cravelhas, queixeira, estandarte e espelho em Ébano, 4 microafinadores removíveis. Acessórios: Estojo térmico com higrômetro, breu, espaleira e 1 arco de crina animal.",603.4,"CATEGORIA: PELE | MARCA: MICHAEL | MODELO: LINHA ÉBANO SERIES   VNM140 | ESPECIFICACOES: MATERIAL: MADEIRA | PELE_TIPO: ANIMAL | DESCRICAO: Violino 4/4 Ébano, acabamento em verniz translúcido avermelhado, filetes de madeira encrustada na borda, tampo em Spruce (Abeto) maciço, faixas e fundo em Maple maciço, cravelhas, queixeira, estandarte e espelho em Ébano, 4 microafinadores removíveis. Acessórios: Estojo térmico com higrômetro, breu, espaleira e 1 arco de crina animal.",PELE
384,MICHAEL,CORNETA EM F - WCMF,"Corneta Longa em Fá (F), Matéria prima: metal, Afinação em F, Acabamento niquelado, Campana Ø124mm, Calibre Ø11,70mm. Acompanha: Bag, luva flanela e bocal prateado Michael",610.4,"CATEGORIA: TALABARTE | MARCA: MICHAEL | MODELO: CORNETA EM F   WCMF | ESPECIFICACOES: DIMENSAO: 124 70 | DESCRICAO: Corneta Longa em Fá (F), Matéria prima: metal, Afinação em F, Acabamento niquelado, Campana Ø124mm, Calibre Ø11,70mm. Acompanha: Bag, luva flanela e bocal prateado Michael",TALABARTE
385,MICHAEL,CORNETA EM Eb - WCMB,"Corneta Longa em Mib (Eb), Matéria prima: metal, Afinação em Mib, Acabamento niquelado, Campana Ø124mm, Calibre Ø11,70mm. Acompanha: Bag, luva flanela e bocal prateado Michael",610.4,"CATEGORIA: TALABARTE | MARCA: MICHAEL | MODELO: CORNETA EM EB   WCMB | ESPECIFICACOES: DIMENSAO: 124 70 | DESCRICAO: Corneta Longa em Mib (Eb), Matéria prima: metal, Afinação em Mib, Acabamento niquelado, Campana Ø124mm, Calibre Ø11,70mm. Acompanha: Bag, luva flanela e bocal prateado Michael",TALABARTE
386,MICHAEL,CORNETA EM Bb - WCMBB,"Corneta Longa em Sib (Bb), Matéria prima: metal, Afinação em Sib, Acabamento niquelado, Campana Ø124mm, Calibre Ø11,70mm. Acompanha: Bag, luva flanela e bocal prateado Michael",610.4,"CATEGORIA: TALABARTE | MARCA: MICHAEL | MODELO: CORNETA EM BB   WCMBB | ESPECIFICACOES: DIMENSAO: 124 70 | DESCRICAO: Corneta Longa em Sib (Bb), Matéria prima: metal, Afinação em Sib, Acabamento niquelado, Campana Ø124mm, Calibre Ø11,70mm. Acompanha: Bag, luva flanela e bocal prateado Michael",TALABARTE
387,MICHAEL,CLARINETE LINHA ESSENCE - WCLM30N,"Clarinete, Afinação Bb (Si bemol) Apoio de polegar Regulável com anel porta-correia (talabarte), Matéria-prima Resina Bakelite, Acabamento 17 chaves niqueladas, Campana Ø74mm, Junções do corpo, Cortiça natural, Acessórios: 2 barriletes, abraçadeira de metal, boquilha Michael, cobre boquilha, kit de limpeza e case.",752.5,"CATEGORIA: TALABARTE | MARCA: MICHAEL | MODELO: CLARINETE LINHA ESSENCE   WCLM30N | ESPECIFICACOES: DIMENSAO: 74 | DESCRICAO: Clarinete, Afinação Bb (Si bemol) Apoio de polegar Regulável com anel porta-correia (talabarte), Matéria-prima Resina Bakelite, Acabamento 17 chaves niqueladas, Campana Ø74mm, Junções do corpo, Cortiça natural, Acessórios: 2 barriletes, abraçadeira de metal, boquilha Michael, cobre boquilha, kit de limpeza e case.",TALABARTE
388,MICHAEL,CLARINETE LINHA ESSENCE - WCLM51,"Clarinete, Afinação Bb (Si bemol) Apoio de polegar Regulável, Matéria-prima Resina Bakelite, Acabamento 18 chaves niqueladas, Campana Ø74mm, Junções do corpo, Cortiça natural, Acessórios: 2 barriletes, abraçadeira de metal, boquilha Michael, cobre boquilha, kit de limpeza e case. Pack Master com 5 unidades.",768.5999999999999,"CATEGORIA: TALABARTE | MARCA: MICHAEL | MODELO: CLARINETE LINHA ESSENCE   WCLM51 | ESPECIFICACOES: DIMENSAO: 74 | NUM_UNIDADES: 5 | DESCRICAO: Clarinete, Afinação Bb (Si bemol) Apoio de polegar Regulável, Matéria-prima Resina Bakelite, Acabamento 18 chaves niqueladas, Campana Ø74mm, Junções do corpo, Cortiça natural, Acessórios: 2 barriletes, abraçadeira de metal, boquilha Michael, cobre boquilha, kit de limpeza e case. Pack Master com 5 unidades.",TALABARTE
389,MICHAEL,MÓDULO LANÇAMENTO - DMXMD02,"Módulo House, 209 vozes, 64 vozes de polifonia, 20 presets de fábrica, 50 canções, Drum On/Off, Metrônomo, espaço para gravação 1 música, Auxiliares: Fone de Ouvido P2, Saída P12 / Line Out P2, Entrada de áudio P12 / Line In P2, USB Interface / Midi. Pack Master 1 unidade.",774.9,"CATEGORIA: FONE_OUVIDO | MARCA: MICHAEL | MODELO: MÓDULO LANÇAMENTO   DMXMD02 | ESPECIFICACOES: MATERIAL: AÇO | PELE_TIPO: 2 12 | USB: USB | RECURSOS: USB | DESCRICAO: Módulo House, 209 vozes, 64 vozes de polifonia, 20 presets de fábrica, 50 canções, Drum On/Off, Metrônomo, espaço para gravação 1 música, Auxiliares: Fone de Ouvido P2, Saída P12 / Line Out P2, Entrada de áudio P12 / Line In P2, USB Interface / Midi. Pack Master 1 unidade.",FONE_OUVIDO
390,MICHAEL,CONTRABAIXO ELÉTRICO PRECISION BASS (4 CORDAS) - BM608N,"Contrabaixo Precision Bass, corpo em Basswood, braço em Hard Maple, tarravas cromadas Precision Bass Open Gear, sistema de captação passivo, 1 captador Split-Single e 1 Single Coil, 2 controles de volume e 1 tone, trastes Medium Jumbo, 4 cordas, tensor Dual Action e marcadores de escala Dot. Cores: Black (BK), Black Tortoise (BT) e Sunburst Black (SK).",786.8,"CATEGORIA: OUTROS | MARCA: MICHAEL | MODELO: CONTRABAIXO ELÉTRICO PRECISION BASS  4 CORDAS    BM608N | ESPECIFICACOES: MATERIAL: AÇO | RECURSOS: BLUETOOTH | DESCRICAO: Contrabaixo Precision Bass, corpo em Basswood, braço em Hard Maple, tarravas cromadas Precision Bass Open Gear, sistema de captação passivo, 1 captador Split-Single e 1 Single Coil, 2 controles de volume e 1 tone, trastes Medium Jumbo, 4 cordas, tensor Dual Action e marcadores de escala Dot. Cores: Black (BK), Black Tortoise (BT) e Sunburst Black (SK).",OUTROS
