,Marca,Modelo,Descrição,Valor
462,MICHAEL,SAXOFONE ALTO LINHA ESSENCE - WASM32N,"Saxofone Alto, afinação Eb (Mi bemol), apoio de polegar ajustável, acabamento dourado laqueado com chaves niqueladas, campana removível e com ornamentação estendida, parafusos de microrregulagem e regulagem de altura nas chaves B (Si) / A (Lá) / F (Fá) / E (Mi) / D (Ré). Acessórios: boquilha e palheta, abraçadeira de metal, cobre boquilha, kit de limpeza e case. BÔNUS: PAD SAVE / DESUMIDIFICADOR! Pack Master com 2 unidades.",2647.4
463,MICHAEL,SAXOFONE ALTO LINHA ESSENCE - WASM31N,"Saxofone Alto, afinação Eb (Mi bemol), apoio de polegar ajustável, acabamento escovado, campana removível e com ornamentação estendida, parafusos de microrregulagem e regulagem de altura nas chaves B (Si) / A (Lá) / F (Fá) / E (Mi) / D (Ré). Acessórios: boquilha e palheta, abraçadeira de metal, cobre boquilha, kit de limpeza e case. BÔNUS: PAD SAVE / DESUMIDIFICADOR! Pack Master com 2 unidades.",2647.4
464,MICHAEL,BATERIA MICHAEL LEGACY - DML422,"Bateria Acústica Legacy, cascos em Poplar, tons 10°x Q8"" e 12°x Q9"", surdo de chão 16°x 16' com pés extra-longos de 62mm, bumbo 22°x 16"", caixa 14°x 6.5"" com 10 canoas de afinações, sistema de suspensão ""M.S.3 - Michael Suspension System 3 Point"", torn-holder com esfera, Q2 estantes de pratos sendo: 01 reta e 01 girafa, ferragens resistentes com pés duplos, máquina de chinhal, peles porosa (caixa) e duplo filme (tambores), pedal de bumbo com batedor de 4 lados e polia e correntes duplas, banco e par de baquetas. Não acompanham pratos. Corse: (SWR ) Sparkle Wine, (SMB) Sparkle Marine Blue, (SSR) Sparkle Silver e (SBK) Sparkle Black.",2700.6
465,MICHAEL,TROMPA DE MARCHA - WHRM48N,"Trompa de marcha, afinação Bb (Si Bemol), campana Ø305mm fixa, calibre Ø11,8mm, 3 válvulas (pistos) em cuproníquel, acabamento laqueado. Acessórios: kit de limpeza, bocal Michael e case",2848.3
466,MICHAEL,TROMPA DE MARCHA - WHRM46N,"Trompa de marcha, afinação Bb (Si Bemol), campana Ø305mm fixa, calibre Ø11,8mm, 3 válvulas (pistos) em cuproníquel, acabamento laqueado. Acessórios: kit de limpeza, bocal Michael e case.",2848.3
467,MICHAEL,BOMBARDINO (3 PISTOS) - WEPM45N,"Bombardino, afinação Bb (Si Bemol), campana ø280mm, calibre Ø 14,5mm, modelo de construção alongado, acabamento laqueado com tubos de encaixe em alpaca/cuproníquel, botões de digitações perolados e 3 válvulas (pistos) em aço inoxidável. Acessórios kit de limpeza, porta-lira com parafuso de fixação, bocal Michael e case.",2851.1
468,MICHAEL,TROMBONE DE MARCHA - WTMM35N,"Trombone de Marcha, afinação Bb (Si bemol), acabamento laqueado, diâmetro campana Ø222mm, calibre Ø13mm, válvulas em aço inoxidável. Acompanha kit de limpeza, bocal Michael e case.",3229.8
469,MICHAEL,SAXOFONE TENOR LINHA ESSENCE - WTSM30N,"Saxofone Tenor, afinação Bb (Si bemol), apoio de polegar direito metálico regulável, acabamento laqueado, campana removível e com ornamentação, parafusos de microrregulagem nas chaves B (Si) / A (Lá) / F (Fá) / E (Mi) / D (Ré). Acessórios",3237.5
470,MICHAEL,ACORDEON 48 baixos - ACM4803N,"Acordeon 48 baixos, teclas 26 teclas, 3 registros para a mão direita, estrutura de madeira de lei (madeira nobre), fole com revestimento em linho e couro, cantoneiras externas do fole em metal, palheta em aço inoxidável, acabamento de alto brilho e 3ª de voz. Bônus: case e alças. Cores: Preto Sólido (SPB), Preto Perolado (PBK), Vermelho Perolado (PRD) e Branco Perolado (PWH).",3278.1
471,MICHAEL,BATERIAS ELETRÔNICAS CONCERT - BMX430,"Bateria Eletrônica, Icti 7 pecas, Módulo Concert, 4 pads Mesh Ultrafina 8"" Dual Zone, 3 pads de Prato 8"", Pedal de controle de hi-hat, Pedal de controle de bumbo, Rack Easy Flex dobrável com clamps, holders e junções e extensores para os pratos, 697 sons, 189 vozes de polifonia, 20 presets de fábrica e 20 presets de usuários (personalizáveis), 55 canções de acompanhamentos, drum on/off, acompanhamento on/off; Espaço para gravar até 15 músicas, Equalizador de 4 banda com controles em tempo real, Metrônomo on/off, tempo voz, compasso, tap tempo, Efeitos de reverb, compressor, equalizer com processador DSP, Display LED, Fonte de alimentação 12V, Cabo medusa, Saídas para Fone de Ouvido P2, Line Out Stereo (L/R), Line In P2, USB, Saída de expansão PIO para pad extra, Saída de expansão PIO para prato extra, Pack Michael I unidade.",3278.1
472,MICHAEL,BOMBARDINO (4 PISTOS) - WEPM454N,"Bombardino, afinação Bb (Si Bemol), campana ø280mm, calibre Ø 14,5mm, acabamento laqueado com tubos de encaixe em alpaca/cuproníquel, botões de digitações perolados e 4 válvulas (pistos) em aço inoxidável, Acessórios kit de limpeza, porta-lira com parafuso de fixação, bocal Michael e case.",3639.3
473,MICHAEL,TROMPA DUPLA - WHRM45N,"Trompa dupla, afinação Bb/F (Si Bemol / Fá), campana Ø320mm fixa, calibre Ø12mm, acabamento laqueado com tubos de encaixe em alpaca/cuproníquel e 4º rotor adiantado. Acessórios: kit de limpeza, bocal Michael e case",3950.8
474,MICHAEL,LINHA TRADICIONAL - VBM30,"Contrabaixo Acústico 3/4 Tradicional, acabamento de Verniz Translúcido Avermelhado, tampo de Spruce (Abeto), faixas e fundo de Maple e tarraxas cromadas. Acessórios: 1 arco de crina animal, breu, bag acolchoada.",3976.7
475,MICHAEL,LINHA TRADICIONAL - VBM40,"Contrabaixo Acústico 4/4 Tradicional, acabamento de Verniz Translúcido Avermelhado, tampo de Spruce (Abeto), faixas e fundo de Maple e tarraxas cromadas. Acessórios: 1 arco de crina animal, breu, bag acolchoada.",3976.7
476,MICHAEL,ACORDEON 60 baixos - ACM6005N,"Acordeon 60 baixos, 34 teclas, 5 registros para a mão direita, estrutura de madeira de lei (madeira nobre), fole com revestimento em linho e couro, cantoneiras externas do fole em metal e palheta em aço inoxidável e acabamento de alto brilho e 3ª de voz. Bônus: case e alças Cores: Preto Sólido (SPB), Preto Perolado (PBK), Vermelho Perolado (PRD) e Branco Perolado (PWH).",4139.8
477,MICHAEL,BATERIAS ELETRÔNICAS CONCERT - DMX460,"Bateria Eletrônica, Icti 8 pecas, Módulo Concert: 3 pads Mesh Ultrafina 8"" Dual Zone, 1 pad Mesh Ultrafina 10"" Dual Zone, 1 pad Mesh Ultrafina de bumbo 8"", 2 pads de prato 12"" com Choke, 1 pad de prato 12"", Pedal de controle de hi-hat, Rack Easy Flex dobrável com clamps, holders e extensores para os pratos, 697 sons, 189 vozes de polifonia, 20 presets de fábrica e 20 presets de usuários (personalizáveis), 55 canções de acompanhamentos, drum on/off, acompanhamento on/off; Espaço para gravar até 15 músicas, Equalizador de 4 bandas com controles em tempo real, Metrônomo on/off, tempo voz, compasso, tap tempo, Efeitos de reverb, compressor, equalizer com processador DSP, Display LED, Fonte de alimentação 12V, Cabo medusa, Saídas para Fone de Ouvido P2, Line Out Stereo (L/R), Line In P2, USB, Saída de expansão PIO para pad extra, Saída de expansão PIO para prato extra, Pack Master I unidade.",4370.799999999999
478,MICHAEL,ACORDEON 80 baixos - ACM8007N,"Acordeon 80 baixos, 37 teclas, 7 registros para a mão direita e 2 para mão esquerda, estrutura de madeira de lei (madeira nobre), fole com revestimento em linho e couro, cantoneiras externas do fole em metal, palheta em aço inoxidável, acabamento de alto brilho e 3ª de voz. Bônus: case e alças Cores: Preto Sólido (SPB), Preto Perolado (PBK), Vermelho Perolado (PRD) e Branco Perolado (PWH).",4803.4
479,MICHAEL,LINHA ÉBANO - VBM130,"Contrabaixo Acústico 3/4 Ébano Series, acabamento em verniz envelhecido, Tampo Spruce (Abeto), faixas e fundo em Maple, tarraxas douradas, estandarte, espelho em Ébano. Acessórios: 1 arco de crina animal, breu, bag acolchoada.",4851.7
480,MICHAEL,LINHA ÉBANO - VBM140,"Contrabaixo Acústico 4/4 Ébano, Ébano Series, acabamento em verniz envelhecido, Tampo Spruce (Abeto), faixas e fundo em Maple, tarraxas douradas, estandarte, espelho em Ébano. Acessórios: 1 arco de crina animal, breu, bag acolchoada.",4851.7
481,MICHAEL,BATERIA MICHAEL EVOLVE - DME620,"Shell Pack, Madeira: casco 100% em Maple, Acabamento: Laqueada, Aros Power Hoop 2.3mm, Tonsi07X07 e 12""X08"", Surdo de chão: 14""X14"" com Air Float System (Sistema flutuante), Caixa 14""x65"" com 10 afinações com automático rápido e esteira de 20 fios, Bumbo sem furo 20""X16"" com aro de madeira e 10 afinações, Sistema de Tom Holder esfera injetada, Sistema de suspensão ""M5.3"" - Michael Suspension System 3 Point, Arruelas de nylon em todos os tambores, Peles de Filme Duplo (""Hidráulica"") para bumbo surdo e tons, Pele Porosa na Caixa. Disponíveis nas cores. **Lacquer Sunburst (LSR). Lacquer Caramel (LCM). Pack Master com OI unidade.**",5238.099999999999
482,MICHAEL,BATERIA MICHAEL EVOLVE - DME622,"Shell Pack, Madeira: casco 100% em Maple, Acabamento: Laqueada, Aros Power Hoop 2.3mm, Tonsi07X08 e, 12""X08"", Surdo de chão: 16""X16"" com Air Float System (Sistema flutuante), Caixa: 14""X65"" com 10 afinações, automático rápido e esteira de 20 fios, Bumbo sem furo: 22""X18"" com aro de madeira e 10 afinações, Sistema de Tom Holder esfera injetada, Sistema de suspensão ""M5.3"" - Michael Suspension System 3 Point, Arruelas de nylon em todos os tambores, Peles de Filme Duplo (""Hidráulica"") para bumbo surdo e tons, Pele Porosa na Caixa. Disponíveis nas cores. **Lacquer Sunburst (LSR). Lacquer Caramel (LCM). Pack Master com OI unidade.**",5328.4
483,MICHAEL,ACORDEON 120 baixos - ACM12007N,"Acordeon 120 baixos, 41 teclas, 7 registros para a mão direita e 2 para mão esquerda, estrutura de madeira de lei (madeira nobre), fole com revestimento em linho e couro, cantoneiras externas do fole em metal, palheta em aço inoxidável, acabamento de alto brilho e 3ª de voz. Bônus: case e alças. Cores: Preto Sólido (SPB), Preto Perolado (PBK), Vermelho Perolado (PRD) e Branco Perolado (PWH).",5602.799999999999
484,MICHAEL,TUBA BOMBARDÃO (3 - ,"Tuba Bombardão, afinação Bb (Si Bemol), campana Ø 370mm, calibre Ø17mm, acabamento laqueado, porta lira, botões de digitações perolados, tudel. Tradicional fixo, 3 válvulas (pistos) em aço inoxidável e 2 chaves d´ água. Acessórios: kit de limpeza, bocal Michael e case com rodinhas.",7008.4
485,MICHAEL,TUBA BOMBARDÃO (3 PISTOS) - WBBM40N,"Tuba Bombardão, afinação Bb (Si Bemol), campana Ø 370mm, calibre Ø17mm, acabamento laqueado, porta lira, botões de digitações perolados, tudel. Tradicional fixo, 3 válvulas (pistos) em aço inoxidável e 2 chaves d´ água. Acessórios: kit de limpeza, bocal Michael e case com rodinhas.",7008.4
486,MICHAEL,TUBA BOMBARDÃO (3 PISTOS) - WBBM45N,"Tuba /Bombardão, afinação Bb (Si Bemol), campana Ø370mm, calibre Ø 17mm, modelo de construção compacto, acabamento laqueado, botões de digitações perolados, tudel tradicional/removível, 3 válvulas (pistos) em aço inoxidável e 2 chaves d´água. Acessórios: kit de limpeza, bocal Michael e case.",7335.999999999999
487,MICHAEL,SOUSAFONE DE FIBRA - WSFFM85N,"Sousafone, afinação Bb (Si Bemol), campana Ø660mm com 3 pontos de fixação, Calibre Ø 18,5mm, acabamento em fibra, tudel articulado em 3 partes e válvulas em aço inoxidável. Acessórios: kit de limpeza, porta-lira (com parafuso de fixação), bocal Michael e case.",12107.2
488,MICHAEL,SAX BARÍTONO - WSBM35N,"Saxofone barítono, afinação Eb (Mi Bemol), apoio de polegar direito e esquerdo metálicos, acabamento laqueado, campana removível ornamentada, chaves: A (Lá grave) ao F# (Fá sustenido agudo) e sapatilhas em pele natural (feltro trançado impermeável). Acessórios: porta-lira (com parafuso de fixação), apoio de chão removível com regulagem de altura, boquilha Michael, cobre-boquilha, abraçadeira de metal e case.",12131.7
489,MICHAEL,TUBA BOMBARDÃO (4 PISTOS) - WBBM454,"Tuba Bombardão, afinação Bb (Si Bemol), campana Ø443mm, calibre Ø18mm, acabamento laqueado, botões de digitações perolados, tudel Tradicional/Removível, 4 válvulas (pistos) em aço inoxidável e 2 chaves d´ água. Acessórios: kit de limpeza, bocal Michael e case.",12241.6
490,MICHAEL,SOUSAFONE - WSFM45N,"Sousafone, afinação Bb (Si Bemol), campana Ø660mm com 3 pontos de fixação, calibre Ø 18,5mm, acabamento laqueado, tudel articulado em 3 partes e 3 válvulas (pistos) em aço inoxidável (máquina removível). Acessórios: óleo lubrificante, luva, flanela, porta-lira (com parafuso de fixação), bocal Michael e case.",18525.5
491,Nucleo Musical,SEP 44-NA,ESPALEIRA SCARLETT 4/4 EM MADEIRA (MÍNIMO 5 PEÇAS),103.43
492,Nucleo Musical,SGB F-BK,"ARCO DE VIOLINO SCARLETT 4/4 COM CRINA ANIMAL EM FIBRA DE CARBONO, COR PRETA",110.9
493,Nucleo Musical,SGBC-01,ARCO DE VIOLONCELO SCARLETT CRINA ANIMAL CORPO REDONDO EM MADEIRA COR NATURAL,110.9
494,Nucleo Musical,CSIE 100,"FONE IN EAR 2 DRIVERS - CABO TRANÇADO 1,50MT, CONECTOR P2 3MM GOLD ESTÉREO 90°, 3 TAMANHOS DE PONTEIRA, CASE COM ZÍPER",112.11
495,Nucleo Musical,CSDI 01,DIRECT BOX PASSIVO MONO CUSTOM SOUND,121.31
496,Nucleo Musical,CSTS 01,SUPORTE PARA TABLET UNIVERSAL (3 EM 1) TABLET/CELULAR/POWERBANK,130.82
497,Nucleo Musical,CKTB 8,BUMBO INFANTIL CUSTOM KIDS,140.13
498,Nucleo Musical,CSDI 02,DIRECT BOX PASSIVO ESTÉREO CUSTOM SOUND,140.71
499,Nucleo Musical,CEQ-4F,PRÉ EQUALIZADOR/AFINADOR CUSTOM SOUND CEQ 4F-BK,145.95
500,Nucleo Musical,CEQ-4,PRÉ EQUALIZADOR/AFINADOR CUSTOM SOUND CEQ 4-BK,153.18
501,Nucleo Musical,CSMS 07,MICROFONE PROFISSIONAL SUPER-CARDIÓIDE DINÂMICO EM METAL CABO XLR/XLR 5MT,156.49
502,Nucleo Musical,CT 3-BK,"CIRCUITO ATIVO PARA CONTRABAIXO - IMPEDÂNCIA DE ENTRADA DE 20 OHMS, RESPOSTA DE FREQUÊNCIA DE 20 HZ A 20 KHZ",157.89
503,Nucleo Musical,CPZ 7-BK,PIEZO CERÂMICO PARA VIOLÃO DE NYLON DE 70MM (PACOTE COM 6 UN.),157.89
504,Nucleo Musical,CSGN 01,"MICROFONE GOOSENECK - TIPO CONDENSER, FREQUÊNCIA 55HZ-16KHZ, PHANTOM POWER, ALIMENTAÇÃO DC1.5/48V",161.26
505,Nucleo Musical,CSPW 01,"AMPLIFICADOR DE FONE DE OUVIDO - ENTRADA CONECTOR COMBO XLR/P10, SAÍDA P2 ESTÉREO 3,5 MM, CHAVE MONO/ESTÉREO, TIPO AMPLIFICADOR ATIVO",162.67
506,Nucleo Musical,CEQ-5,PRÉ EQUALIZADOR/AFINADOR CUSTOM SOUND CEQ 5-BK,163.54
507,Nucleo Musical,CW 70-BK,"MICROFONE SEM FIO BASTÃO E RECEIVER P10 USB TIPO-C GLOBO PRETO - CANAIS 15, UHF A FREQUÊNCIA 677.7MHZ-686.7MHZ",163.77
508,Nucleo Musical,TEQ 2-BK,PRÉ EQUALIZADOR/AFINADOR TEQ 2,164.19
509,Nucleo Musical,CCB 9060-BK,CAPTADOR DE CONTATO,167.67
510,Nucleo Musical,CT 3-SV,"CIRCUITO ATIVO PARA CONTRABAIXO - IMPEDÂNCIA DE ENTRADA 20 OHMS, RESPOSTA DE FREQUÊNCIA 20 HZ A 20 KHZ, BASS ATENUAÇÃO DE 12DB EM 85 KHZ",167.67
511,Nucleo Musical,CSDE 01,ESTANTE DE CAIXA PARA BATERIA CS DRUMS,179.9
512,Nucleo Musical,CW 30-BK,"MICROFONE SEM FIO BASTÃO DE METAL E RECEIVER P10 USB TIPO-C - CANAIS 15, UHF A FREQUÊNCIA 677.7MHZ-686.7MHZ",190.5
513,Nucleo Musical,CKSI 8,SINOS DE MÃO 8 TONS CUSTOM KIDS,210.45
514,Nucleo Musical,CKAC 17-BL,"ACORDEON INFANTIL 17 TECLAS 8 BAIXOS, CORES DISPONÍVEIS AZUL",219.9
515,Nucleo Musical,CKAC 17-BK,"ACORDEON INFANTIL 17 TECLAS 8 BAIXOS, CORES DISPONÍVEIS PRETO",219.9
516,Nucleo Musical,CKAC 17-RD,"ACORDEON INFANTIL 17 TECLAS 8 BAIXOS, CORES DISPONÍVEIS VERMELHO",219.9
517,Nucleo Musical,SCS 100-BK,CASE DE VIOLINO SCARLETT 4/4 GOTA 100 COR PRETA,223.14
518,Nucleo Musical,CSDPB 01,PEDAL DE BUMBO SINGLE CORRENTE DUPLA CS DRUMS,226.49
519,Nucleo Musical,TEQ 8-BK,"PRÉ-EQUALIZADOR E AFINADOR DIGITAL, POSSUI UM PAINEL LCD E EQUALIZAÇÃO DE 4 BANDAS GRAVE/MÉDIO/AGUDO/PRESENÇA",232.56
520,Nucleo Musical,CSDB 01,BANCO PARA BATERIA REDONDO COM ROSCA CS DRUMS,233.73
521,Nucleo Musical,TEQ 5-BK,"PRÉ-EQUALIZADOR E AFINADOR DIGITAL COM PAINEL LCD, 5 BANDAS DE AJUSTE GRAVE/MÉDIO/AGUDO/PRESENCE/BRILLIANCE",258.76
522,Nucleo Musical,CMX 4live,"MESA DE SOM PORTÁTIL 4 CANAIS - 2 ENTRADAS MIC XLR COMBO, BLUETOOTH 5.0/USB 2.0/P10/XLR/PHANTOM POWER/INTERFACE DE ÁUDIO MP3/DELAY/GRAVADOR DIGITAL",282.29
523,Nucleo Musical,CPB 6 CL,"CAIXA DE PALHETAS CUSTOM SOUND 6 MEDIDAS .50, .73, .88, 1.00, 1.14, 1.50 (150 UNIDADES)",299.9
524,Nucleo Musical,CW 40,"MICROFONE SEM FIO PROFISSIONAL - ALCANCE SUPERIOR A 40MT, BASTÃO EM PLÁSTICO, TIPO DINÂMICO, PADRÃO POLAR CARDIÓIDE, BANDA 60MHZ, CANAIS 96 CH",319.9
525,Nucleo Musical,CKKB 44,"TECLADO INFANTIL 44 TECLAS - GRAVAÇÃO/REP.VIBRATO/SUSTAIN, 22 SONS DEMONSTRATIVOS, 4 PERCUSÕES, 2 MODOS DE ENSINO, ACOMPANHA MICROFONE, APOIO DE PARTITURA, FONTE 9V",326.03
526,Nucleo Musical,CMX 4C,"MESA DE SOM PORTÁTIL 4 CANAIS - 2 ENTRADAS COMBO/1 CANAL ESTÉREO P10/1 CANAL ESTÉREO RCA, BLUETOOTH/USB/P10/XLR/PHANTOM POWER/INTERFACE DE ÁUDIO MP3/16 DSP/DISPLAY DE EFEITOS",339.9
527,Nucleo Musical,TEQ 4-BK,"PRÉ EQUALIZADOR E AFINADOR DIGITAL COM PAINEL LCD, 4 BANDAS DE AJUSTE GRAVE/MÉDIO/AGUDO/PRESENÇA",340.85
528,Nucleo Musical,CSDB 02,BANCO PARA BATERIA SELIM COM ROSCA CS DRUMS,379.9
529,Nucleo Musical,CSTR-02,"TRANSMISSOR PARA INSTRUMENTO SEM FIO - ALCANCE 30 METROS, BATERIA DE LÍTIO, ANTI INTERFERÊNCIA",383.51
530,Nucleo Musical,CW 40w,"SISTEMA SEM FIO UHF BASTÃO DUPLO - ALCANCE 40MT, TIPO DINÂMICO CARDIÓIDE, FAIXA DE FREQUÊNCIA 630-690 MHZ, MULTI-FREQUÊNCIA COM 48 CANAIS, SAÍDA XLR BALANCEADA E P10",399.9
531,Nucleo Musical,TCV 01-MH,CAVAQUINHO TERRA ACÚSTICO FOSCO COM CAPA. COR NATURAL,423.34
532,Nucleo Musical,SCV 134-NA,VIOLINO TAMPO LINDEN LAMINADO E ESPELHO EBANIZADO TAMANHO 3/4 DA MARCA SCARLETT,423.34
533,Nucleo Musical,SCV 144-NA,VIOLINO TAMPO LINDEN LAMINADO E ESPELHO EBANIZADO TAMANHO 4/4 DA MARCA SCARLETT,423.34
534,Nucleo Musical,TEQ 7-BK,"PRÉ-EQUALIZADOR E AFINADOR DIGITAL, POSSUI UM PAINEL LCD E EQUALIZAÇÃO DE 4 BANDAS GRAVE/MÉDIO/AGUDO/PRESENÇA",448.19
535,Nucleo Musical,CSBT-6,"CS CLUB BOX - 100 WATTS DE POTÊNCIA, BATERIA COM 6 HORAS DE DURAÇÃO, SISTEMA TWS, CONTROLE REMOTO, BLUETOOTH COM ALCANCE DE 10 METROS",459.75
536,Nucleo Musical,SCS 600-BK,CASE PARA VIOLINO 4/4 MEIA-LUA 600 COR PRETA,470.16
537,Nucleo Musical,CMX 6C,"MESA DE SOM PORTÁTIL 6 CANAIS - 4 ENTRADAS MIC XLR COMBO, BLUETOOTH 5.0/USB 2.0/P10/XLR/PHANTOM POWER/INTERFACE DE ÁUDIO MP3/DELAY/GRAVADOR DIGITAL",482.73
538,Nucleo Musical,SCV F34-NA,"VIOLINO SCARLETT ENVELHECIDO FOSCO F 3/4 TAMPO LINDEN, LAT/FUNDO FLAMED MAPLE, ESCALA EBANO",489.57
539,Nucleo Musical,SCV F44 NA,"VIOLINO SCARLETT ENVELHECIDO FOSCO F 4/4 TAMPO LINDEN, LAT/FUNDO FLAMED MAPLE, ESCALA EBANO",489.57
540,Nucleo Musical,CST 300,TECLADO INICIANTE - TECLADO MUSICAL 61 TECLAS COM ADESIVO ESTUDANTE. ACOMPANHA PEDAL DE SUSTAIN,513.06
541,Nucleo Musical,CSBT-12,"CS BOOM - 300 WATTS DE POTÊNCIA, SISTEMA TWS, CONTROLE REMOTO, BLUETOOTH COM ALCANCE DE 10 METROS, RÁDIO FM, SD CARD, PROTEÇÃO IPX 5",535.9
542,Nucleo Musical,CW 60,"MICROFONE SEM FIO PROFISSIONAL - ALCANCE SUPERIOR A 40MT, BASTÃO EM METAL, TIPO DINÂMICO, PADRÃO POLAR CARDIÓIDE, BANDA 60MH, CANAIS 96 CH",559.9
543,Nucleo Musical,CSDB 03,BANCO PARA BATERIA SELIM ENCOSTO COM ROSCA CS DRUMS,561.08
544,Nucleo Musical,TCV 02-MH,"CAVAQUINHO TERRA ELETROACÚSTICO FOSCO COM CAPA, COR NATURAL",579.62
545,Nucleo Musical,CW 80,"MICROFONE SEM FIO BASTÃO HEADSET - BASTÃO EM METAL/HEADSET COM HASTE FLEXÍVEL, ALCANCE SUPERIOR A 40MT, TIPO DINÂMICO, PADRÃO POLAR CARDIÓIDE, 630-690MHZ, BANDA 60MHZ, CANAIS 96",589.9
546,Nucleo Musical,MINI 15-NA,"AMPLIFICADOR PARA VIOLÃO - FREQUÊNCIA MÁXIMA 30W, ALIMENTAÇÃO MINI USB DC 5V 2000MA, BATERIA DE ÍON DE LÍTIO DC7.4V/2600MA, BLUETOOTH V5.0 ALCANCE 15 METROS",605.31
547,Nucleo Musical,CW100-BP,"BODYPACK MONITOR DE PALCO SEM FIO - BODY PACK COM CHAVE MONO/ESTÉREO, 2 PILHAS 2 AA, BOTÃO SELETOR DE FUNÇÃO PANORÂMICA MONO ESTÉREO",638.07
548,Nucleo Musical,CSPWP 08,AMPLIFICADOR DE FONE DE OUVIDO 8 CANAIS MONO E ESTÉREO CUSTOM SOUND,728.9
549,Nucleo Musical,CSMK4,"MICROFONE CONDENSADOR POLARIZADO - PADRÃO DE CAPTAÇÃO CARDIOIDE, RESPOSTA DE FREQUÊNCIA 20 HZ-20 KHZ, NÍVEL MÁXIMO DE PRESSÃO SONORA 140 DB, ACOMPANHA SHOCK MOUTH, CABO XLR, CASE",759.9
550,Nucleo Musical,CKPI 30-WH,PIANO INFANTIL 30 TECLAS CUSTOM KIDS CORES DISPONÍVEIS BRANCO,776.53
551,Nucleo Musical,CKPI 30-BK,PIANO INFANTIL 30 TECLAS CUSTOM KIDS CORES DISPONÍVEIS PRETO,776.53
552,Nucleo Musical,CKPI 30-PK,PIANO INFANTIL 30 TECLAS CUSTOM KIDS CORES DISPONÍVEIS ROSA,776.53
553,Nucleo Musical,CST 3000X,TECLADO ARRANJADOR - UPGRADE 500 TIMBRES 500 RITMOS CONEXÃO MIDI-USB TECLAS SENSITIVAS,795.99
554,Nucleo Musical,SCV 644-NA,"VIOLINO SCARLETT PROFISSIONAL FOSCO 4/4, TAMPO EM SPRUCE SÓLIDO, E LAT E FUNDO EM MAPLE SÓLIDO",847.93
555,Nucleo Musical,CSBT 60,"SMARTY PARTY 60 - 600 WATTS DE POTÊNCIA, BATERIA COM 6 HORAS DE DURAÇÃO, SISTEMA TWS, CONTROLE REMOTO, BLUETOOTH COM ALCANCE DE 10 METROS",1030.28
556,Nucleo Musical,CMX 8C,"MESA DE SOM PORTÁTIL 8 CANAIS - 2 ENTRADAS MIC XLR COMBO/LINE/FX, BLUETOOTH 5.0/USB 2.0/P10/XLR/PHANTOM POWER/INTERFACE DE ÁUDIO MP3/DELAY/GRAVADOR DIGITAL",1125.9
557,Nucleo Musical,CW 200,"MICROFONE SEM FIO PROFISSIONAL - FAIXA DE FREQUÊNCIA: 630-680 MHZ, RESPOSTA DE FREQUÊNCIA DE ÁUDIO: 50 HZ A 20 KHZ, POTÊNCIA DE RF: 30 MW, BASTÃO COM CHAVE ON/OFF, DISPLAY COM INDICAÇÃO DO CANAL E TEMPO DE BATERIA, ALIMENTAÇÃO: PILHAS ALCALINAS AA (10 HORAS DE DURAÇÃO), ALCANCE ATÉ 100 METROS",1379.9
558,Nucleo Musical,CSD 07,"KIT DE MICROFONES PARA BATERIA - 1 MICROFONE PARA BUMBO, 4 MICROFONES DE TOM/SURDO, 2 MICROFONES OVER PHANTOM POWER, 4 CLAMPS, 2 CACHIMBOS PARA OVER",1459.9
559,Nucleo Musical,CMX 12C,"MESA DE SOM 12 CANAIS - ENTRADAS MIC XLR/LINE/FX, USB 2.0, BLUETOOTH, 16 DPS, GRAVADOR DIGITAL, EQUALIZADOR 7 BANDAS, PHANTOM POWER",1459.9
560,Nucleo Musical,CW100,"MONITOR DE PALCO IN EAR MONO/ESTÉREO - ALCANCE SUPERIOR A 20MT, BODY PACK RECARREGÁVEL USB, FREQUÊNCIA 620-650 MHZ, ACOMPANHA FONE IN EAR 2 DRIVERS, CANAIS 16",1990.53
561,Nucleo Musical,CSD100-BT,"BATERIA ELETRÔNICA COM 8 PEÇAS - 3 PRATOS, 4 TAMBORES, 1 BUMBO, 1 MÓDULO, 1 RACK. UPGRADE-AGORA COM TECNOLOGIA BLUETOOTH",4011.66
562,ONEAL,OSC-600-BR,Suporte metálico para caixa de Substaves QFB/QBB e QFB/QB - Altura 600 mr,142.0
563,ONEAL,OSA-630-GR,Suporte para caixas acústicas (RB-2600 X e QFB-3600 X.. Cor Preta. Preço unitário. Entalagem com 1 peça. (NOM 7365.90.90),142.0
564,ONEAL,OSC-690-,Suporte metálico para caixa de Substaves QFB/QBB e QFB/QB Altura 690 mr,157.0
565,ONEAL,OSA-680-BR,Suporte para caixas acústicas (RB-2600 X e QFB-3600.X. Cor Branca. Preço unitário. Entalagem com 1 peça. (NOM 7365.90.90),176.0
566,ONEAL,OSA-680-GR,Suporte para caixas acústicas (RB-2600 X e QFB-3600.X. Cor Preta. Preço unitário. Entalagem com 1 peça. (NOM 7365.90.90),176.0
567,ONEAL,OSA-1202.-BR,Suporte de caixa acustica para Q.B-1202 . Cor Branca. Preço unitário. Entalagem com 2 peças. (NOM 7365.90.90),205.0
568,ONEAL,OSA-1202.-PT,Suporte de caixa acustica para Q.B-1202 . Cor preto. Preço unitário. Entalagem com 2 peças. (NOM 7365.90.90),205.0
